"","종목코드","종목명","시장구분","업종명","종가","대비","등락률","시가총액"
"187","001210","금호전기","KOSPI","전기전자",2745,10,0.37,32890095900
"188","073240","금호타이어","KOSPI","화학",3950,-35,-0.88,1134678133650
"189","092440","기신정기","KOSPI","기계",3885,-25,-0.64,1.13442e+11
"190","000270","기아차","KOSPI","운수장비",81100,2400,3.05,32874967441700
"191","024110","기업은행","KOSPI","은행",8650,70,0.82,6389446714000
"192","013700","까뮤이앤씨","KOSPI","건설업",3360,-80,-2.33,151711660800
"193","004540","깨끗한나라","KOSPI","종이목재",4000,-60,-1.48,148962772000
"194","004545","깨끗한나라우","KOSPI","종이목재",17350,-550,-3.07,6352876000
"195","001260","남광토건","KOSPI","건설업",13050,-550,-4.04,128267158050
"196","008350","남선알미늄","KOSPI","철강금속",4345,-55,-1.25,478728146050
"197","008355","남선알미우","KOSPI","철강금속",38900,-200,-0.51,11976921000
"198","004270","남성","KOSPI","유통업",4175,505,13.76,151185768000
"199","003920","남양유업","KOSPI","음식료품",295000,-1500,-0.51,2.124e+11
"200","003925","남양유업우","KOSPI","음식료품",181500,1500,0.83,30249153000
"201","025860","남해화학","KOSPI","화학",8630,-60,-0.69,428728415090
"202","005720","넥센","KOSPI","화학",4660,-40,-0.85,249514932820
"203","005725","넥센우","KOSPI","화학",2865,-60,-2.05,10315719000
"204","002350","넥센타이어","KOSPI","화학",7950,-170,-2.09,776459622150
"205","002355","넥센타이어1우B","KOSPI","화학",2900,10,0.35,1.885e+10
"206","003580","넥스트사이언스","KOSPI","광업",4090,50,1.24,134708972110
"207","251270","넷마블","KOSPI","서비스업",122500,-2500,-2,10521096127500
"208","090350","노루페인트","KOSPI","화학",9370,-100,-1.06,1.874e+11
"209","090355","노루페인트우","KOSPI","화학",12300,-100,-0.81,5696449800
"210","000320","노루홀딩스","KOSPI","기타금융",11800,-50,-0.42,156835581800
"211","000325","노루홀딩스우","KOSPI","기타금융",15600,-900,-5.45,2889900000
"212","006280","녹십자","KOSPI","의약품",374500,13500,3.74,4376608481000
"213","005250","녹십자홀딩스","KOSPI","서비스업",37250,150,0.4,1751800822500
"214","005257","녹십자홀딩스2우","KOSPI","서비스업",87100,-900,-1.02,73685729000
"215","004370","농심","KOSPI","음식료품",273500,-2500,-0.91,1663602587000
"216","072710","농심홀딩스","KOSPI","기타금융",74100,200,0.27,343660239000
"217","058730","다스코","KOSPI","기계",4970,-30,-0.6,7.6538e+10
"218","023590","다우기술","KOSPI","서비스업",26150,-50,-0.19,1173262034550
"219","019680","대교","KOSPI","서비스업",3940,20,0.51,333729229000
"220","019685","대교우B","KOSPI","서비스업",2545,-5,-0.2,49441689550
"221","006370","대구백화점","KOSPI","유통업",9040,-110,-1.2,97827363440
"222","008060","대덕","KOSPI","기타금융",6760,-70,-1.02,229097414000
"223","00806K","대덕1우","KOSPI","기타금융",8000,0,0,9698856000
"224","353200","대덕전자","KOSPI","전기전자",14900,-200,-1.32,736312182500
"225","35320K","대덕전자1우","KOSPI","전기전자",9200,-40,-0.43,19278774800
"226","000490","대동공업","KOSPI","기계",8040,-150,-1.83,190774808400
"227","008110","대동전자","KOSPI","전기전자",5520,-30,-0.54,57907267440
"228","005750","대림B&Co","KOSPI","비금속광물",5380,-40,-0.74,89696651200
"229","001880","대림건설","KOSPI","건설업",29500,-100,-0.34,650571878000
"230","006570","대림통상","KOSPI","기계",3835,-70,-1.79,58387875000
"231","001680","대상","KOSPI","음식료품",25150,150,0.6,871397828750
"232","001685","대상우","KOSPI","음식료품",17700,-100,-0.56,24252947100
"233","084690","대상홀딩스","KOSPI","기타금융",9700,-60,-0.61,351261618600
"234","084695","대상홀딩스우","KOSPI","기타금융",8230,10,0.12,7517956860
"235","128820","대성산업","KOSPI","유통업",3870,335,9.48,175061299860
