"","종목코드","종목명","종가","대비","등락률","EPS","PER","BPS","PBR","주당배당금","배당수익률"
"2089","051380","피씨디렉트",10350,-300,-2.82,494,20.95,4705,2.2,100,0.97
"2090","241820","피씨엘",35000,-900,-2.51,NA,NA,611,57.28,0,0
"2091","237750","피앤씨테크",6990,30,0.43,428,16.33,9172,0.76,0,0
"2092","131390","피앤이솔루션",21400,500,2.39,1096,19.53,5497,3.89,0,0
"2093","024850","피에스엠씨",1510,-30,-1.95,2,755,510,2.96,0,0
"2094","319660","피에스케이",35850,-200,-0.55,1058,33.88,12682,2.83,300,0.84
"2095","031980","피에스케이홀딩스",7770,-70,-0.89,950,8.18,15958,0.49,150,1.93
"2096","002230","피에스텍",5540,-190,-3.32,131,42.29,7280,0.76,150,2.71
"2097","239890","피엔에이치테크",14200,-550,-3.73,NA,NA,NA,NA,0,0
"2098","347740","피엔케이피부임상연구센타",21300,-350,-1.62,973,21.89,3767,5.65,0,0
"2099","137400","피엔티",24600,-50,-0.2,NA,NA,4258,5.78,0,0
"2100","128660","피제이메탈",2530,-75,-2.88,85,29.76,1634,1.55,100,3.95
"2101","006140","피제이전자",8170,290,3.68,326,25.06,7136,1.14,140,1.71
"2102","304840","피플바이오",42350,400,0.95,NA,NA,542,78.14,0,0
"2103","062970","피피아이",5350,50,0.94,339,15.78,2409,2.22,0,0
"2104","087600","픽셀플러스",6820,0,0,NA,NA,9523,0.72,0,0
"2105","057880","필로시스헬스케어",2265,-20,-0.88,NA,NA,542,4.18,0,0
"2106","033180","필룩스",4015,10,0.25,NA,NA,3111,1.29,0,0
"2107","161580","필옵틱스",12500,-50,-0.4,NA,NA,3174,3.94,0,0
"2108","347770","핌스",17100,100,0.59,1043,16.4,2593,6.59,0,0
"2109","163730","핑거",23500,-300,-1.26,590,39.83,1826,12.87,0,0
"2110","332710","하나금융14호스팩",2100,0,0,NA,NA,NA,NA,0,0
"2111","341160","하나금융15호스팩",2095,-5,-0.24,NA,NA,NA,NA,0,0
"2112","343510","하나금융16호스팩",2085,-5,-0.24,NA,NA,NA,NA,0,0
"2113","363260","하나금융17호스팩",2055,0,0,NA,NA,NA,NA,0,0
"2114","086790","하나금융지주",41500,-100,-0.24,7898,5.25,93673,0.44,2100,5.06
"2115","299030","하나기술",128900,7100,5.83,2149,59.98,5760,22.38,0,0
"2116","067310","하나마이크론",10800,50,0.47,NA,NA,5238,2.06,50,0.46
"2117","372290","하나머스트7호스팩",2050,0,0,NA,NA,NA,NA,0,0
"2118","307160","하나머스트제6호스팩",2165,30,1.41,NA,NA,NA,NA,0,0
"2119","166090","하나머티리얼즈",34050,-200,-0.58,1421,23.96,7410,4.6,200,0.59
"2120","293480","하나제약",23350,300,1.3,1778,13.13,13601,1.72,460,1.97
"2121","039130","하나투어",68700,2300,3.46,NA,NA,15562,4.41,1000,1.46
"2122","136480","하림",2920,15,0.52,NA,NA,2924,1,0,0
"2123","003380","하림지주",8910,-120,-1.33,736,12.11,18633,0.48,50,0.56
"2124","149980","하이로닉",5650,180,3.29,231,24.46,2888,1.96,56,0.99
"2125","013030","하이록코리아",14700,-250,-1.67,947,15.52,25087,0.59,500,3.4
"2126","126700","하이비젼시스템",14350,-150,-1.03,607,23.64,8297,1.73,50,0.35
"2127","106080","하이소닉",3330,0,0,NA,NA,883,3.77,0,0
"2128","071090","하이스틸",24450,-250,-1.01,16,1528.13,63833,0.38,100,0.41
"2129","340120","하이제5호스팩",2105,5,0.24,NA,NA,NA,NA,0,0
"2130","221840","하이즈항공",5170,70,1.37,221,23.39,4321,1.2,61,1.18
"2131","106190","하이텍팜",17600,-350,-1.95,NA,NA,13907,1.27,50,0.28
"2132","019490","하이트론",8890,-1160,-11.54,NA,NA,3091,2.88,0,0
"2133","000080","하이트진로",37100,550,1.5,NA,NA,14488,2.56,700,1.89
"2134","000087","하이트진로2우B",19950,100,0.5,NA,NA,NA,NA,0,0
"2135","000140","하이트진로홀딩스",15650,50,0.32,NA,NA,18398,0.85,350,2.24
"2136","000145","하이트진로홀딩스우",14400,100,0.7,NA,NA,NA,NA,400,2.78
"2137","066130","하츠",10200,100,0.99,194,52.58,6471,1.58,30,0.29
"2138","368770","한국9호스팩",2055,5,0.24,NA,NA,NA,NA,0,0
"2139","004590","한국가구",6030,240,4.15,405,14.89,6919,0.87,115,1.91
"2140","036460","한국가스공사",32250,150,0.47,395,81.65,85073,0.38,380,1.18
"2141","039340","한국경제TV",7000,0,0,671,10.43,5300,1.32,90,1.29
"2142","005430","한국공항",39550,550,1.41,5318,7.44,102021,0.39,1000,2.53
"2143","071050","한국금융지주",86900,-400,-0.46,14467,6.01,81250,1.07,2900,3.34
"2144","071055","한국금융지주우",63200,100,0.16,NA,NA,NA,NA,2962,4.69
"2145","034950","한국기업평가",88700,-300,-0.34,4563,19.44,23591,3.76,8618,9.72
"2146","010040","한국내화",3835,70,1.86,193,19.87,6144,0.62,35,0.91
"2147","025540","한국단자",76800,2400,3.23,3062,25.08,68181,1.13,700,0.91
"2148","222980","한국맥널티",6490,-10,-0.15,NA,NA,2769,2.34,0,0
"2149","318000","한국바이오젠",8380,10,0.12,NA,NA,3159,2.65,50,0.6
"2150","256840","한국비엔씨",7340,100,1.38,NA,NA,558,13.15,0,0
"2151","004090","한국석유",189500,10500,5.87,NA,NA,212214,0.89,1500,0.79
"2152","025550","한국선재",3220,70,2.22,111,29.01,3631,0.89,0,0
"2153","002200","한국수출포장",21850,300,1.39,4505,4.85,61942,0.35,600,2.75
"2154","002960","한국쉘석유",247000,500,0.2,16174,15.27,75323,3.28,16000,6.48
"2155","023890","한국아트라스비엑스",56800,-500,-0.87,13966,4.07,40126,1.42,400,0.7
"2156","017890","한국알콜",13050,-150,-1.14,1545,8.45,15175,0.86,100,0.77
"2157","000240","한국앤컴퍼니",17100,-500,-2.84,1650,10.36,35269,0.48,350,2.05
"2158","080720","한국유니온제약",12750,0,0,65,196.15,9084,1.4,0,0
"2159","123890","한국자산신탁",4015,0,0,733,5.48,5339,0.75,200,4.98
"2160","015760","한국전력",23250,50,0.22,NA,NA,105140,0.22,0,0
"2161","063570","한국전자금융",6710,120,1.82,150,44.73,4581,1.46,110,1.64
"2162","041460","한국전자인증",7670,180,2.4,87,88.16,1887,4.06,46,0.6
"2163","006200","한국전자홀딩스",1570,-165,-9.51,NA,NA,2289,0.69,0,0
"2164","101680","한국정밀기계",1440,0,0,NA,NA,6762,0.21,0,0
"2165","039740","한국정보공학",3545,-130,-3.54,223,15.9,5025,0.71,0,0
"2166","053300","한국정보인증",6690,100,1.52,229,29.21,2735,2.45,100,1.49
"2167","025770","한국정보통신",9180,30,0.33,649,14.14,5319,1.73,0,0
"2168","310870","한국제8호스팩",2095,0,0,NA,NA,NA,NA,0,0
"2169","009540","한국조선해양",122000,4500,3.83,2183,55.89,163436,0.75,0,0
