"","종목코드","종목명","종가","대비","등락률","시장구분","업종명","시가총액","EPS","PER","BPS","PBR","주당배당금","배당수익률"
"51","003280","흥아해운",258,0,0,"KOSPI","운수창고업",30117000222,NA,NA,276,0.93,0,0
"52","087730","이엠네트웍스",8160,0,0,"KOSDAQ","반도체",26570510400,NA,NA,855,9.54,0,0
"53","033110","코너스톤네트웍스",204,0,0,"KOSDAQ","유통",26473567764,NA,NA,288,0.71,0,0
"54","009730","코센",905,0,0,"KOSDAQ","금속",26398999325,NA,NA,230,3.93,0,0
"55","066110","한프",480,0,0,"KOSDAQ","정보기기",25343808000,NA,NA,NA,NA,0,0
"56","002420","세기상사",61600,0,0,"KOSPI","서비스업",25107667200,NA,NA,55045,1.12,0,0
"57","033430","디에스티",370,0,0,"KOSDAQ","기계·장비",24761692410,NA,NA,64,5.78,0,0
"58","127160","매직마이크로",282,0,0,"KOSDAQ","반도체",22816398912,NA,NA,898,0.31,0,0
"59","043100","솔고바이오",392,0,0,"KOSDAQ","의료·정밀기기",22641609536,NA,NA,566,0.69,0,0
"60","058450","일야",685,0,0,"KOSDAQ","IT부품",21741900000,NA,NA,607,1.13,0,0
"61","053660","현진소재",400,0,0,"KOSDAQ","금속",21280401200,NA,NA,NA,NA,0,0
"62","058530","슈펙스비앤피",162,0,0,"KOSDAQ","유통",21187054332,NA,NA,541,0.3,0,0
"63","039230","에이아이비트",181,0,0,"KOSDAQ","반도체",19975625713,NA,NA,483,0.37,0,0
"64","010580","지코",306,0,0,"KOSPI","운수장비",19761980616,NA,NA,314,0.97,0,0
"65","141020","포티스",108,0,0,"KOSDAQ","유통",18839533608,NA,NA,370,0.29,0,0
"66","160600","이큐셀",310,0,0,"KOSDAQ","기계·장비",18642222930,NA,NA,563,0.55,0,0
"67","103230","에스앤더블류",2505,0,0,"KOSDAQ","기계·장비",1.8036e+10,NA,NA,5410,0.46,0,0
"68","050540","한국코퍼레이션",282,0,0,"KOSDAQ","기타서비스",14321537226,NA,NA,974,0.29,0,0
"69","033790","스카이문스테크놀로지",829,0,0,"KOSDAQ","통신장비",14190075900,NA,NA,1168,0.71,0,0
"70","052190","이에스에이",295,0,0,"KOSDAQ","오락·문화",13511445155,NA,NA,766,0.39,0,0
"71","028040","미래SCI",279,0,0,"KOSDAQ","유통",12549281058,NA,NA,376,0.74,0,0
